[-84.871681, 19.395538]
[-84.842529, 19.395538]
[-84.813377, 19.395538]
[-84.784233, 19.395538]
[-84.755081, 19.395538]
[-84.725929, 19.395538]
[-84.696777, 19.395538]
[-84.667633, 19.395538]
[-84.638481, 19.395538]
[-84.609329, 19.395538]
[-84.580177, 19.395538]
[-84.551025, 19.395538]
[-84.521881, 19.395538]
[-84.492729, 19.395538]
[-84.463577, 19.395538]
[-84.434425, 19.395538]
[-84.405273, 19.395538]
[-84.376129, 19.395538]
[-84.346977, 19.395538]
[-84.317825, 19.395538]
[-84.288673, 19.395538]
[-84.259521, 19.395538]
[-84.230377, 19.395538]
[-84.201225, 19.395538]
[-84.172073, 19.395538]
[-84.142921, 19.395538]
[-84.11377, 19.395538]
[-84.084625, 19.395538]
[-84.055473, 19.395538]
[-84.026321, 19.395538]
[-83.997169, 19.395538]
[-83.968018, 19.395538]
[-83.938873, 19.395538]
[-83.909721, 19.395538]
[-83.880569, 19.395538]
[-83.851418, 19.395538]
[-83.822266, 19.395538]
[-83.793121, 19.395538]
[-83.763969, 19.395538]
[-83.734818, 19.395538]
[-83.705666, 19.395538]
[-83.676514, 19.395538]
[-83.647369, 19.395538]
[-83.618217, 19.395538]
[-83.589066, 19.395538]
[-83.559914, 19.395538]
[-83.530762, 19.395538]
[-83.501617, 19.395538]
[-83.472466, 19.395538]
[-83.443314, 19.395538]
[-83.414162, 19.395538]
[-83.38501, 19.395538]
[-83.355865, 19.395538]
[-83.326714, 19.395538]
[-83.297562, 19.395538]
[-83.26841, 19.395538]
[-83.239258, 19.395538]
[-83.210114, 19.395538]
[-83.180962, 19.395538]
[-83.15181, 19.395538]
[-83.122658, 19.395538]
[-83.093513, 19.395538]
[-83.064362, 19.395538]
[-83.03521, 19.395538]
[-83.006058, 19.395538]
[-82.976906, 19.395538]
[-82.947762, 19.395538]
[-82.91861, 19.395538]
[-82.889458, 19.395538]
[-82.860306, 19.395538]
[-82.831154, 19.395538]
[-82.80201, 19.395538]
[-82.772858, 19.395538]
[-82.743706, 19.395538]
[-82.714554, 19.395538]
[-82.685402, 19.395538]
[-82.656258, 19.395538]
[-82.627106, 19.395538]
[-82.597954, 19.395538]
[-82.568802, 19.395538]
[-82.53965, 19.395538]
[-82.510506, 19.395538]
[-82.481354, 19.395538]
[-82.452202, 19.395538]
[-82.42305, 19.395538]
[-82.393898, 19.395538]
[-82.364754, 19.395538]
[-82.335602, 19.395538]
[-82.30645, 19.395538]
[-82.277298, 19.395538]
[-82.248146, 19.395538]
[-82.219002, 19.395538]
[-82.18985, 19.395538]
[-82.160698, 19.395538]
[-82.131546, 19.395538]
[-82.102394, 19.395538]
[-82.07325, 19.395538]
[-82.044098, 19.395538]
[-82.014946, 19.395538]
[-81.985794, 19.395538]
[-81.956642, 19.395538]
[-81.927498, 19.395538]
[-81.898346, 19.395538]
[-81.869194, 19.395538]
[-81.840042, 19.395538]
[-81.810898, 19.395538]
[-81.781746, 19.395538]
[-81.752594, 19.395538]
[-81.723442, 19.395538]
[-81.69429, 19.395538]
[-81.665146, 19.395538]
[-81.635994, 19.395538]
[-81.606842, 19.395538]
[-81.57769, 19.395538]
[-81.548538, 19.395538]
[-81.519394, 19.395538]
[-81.490242, 19.395538]
[-81.46109, 19.395538]
[-81.431938, 19.395538]
[-81.402786, 19.395538]
[-81.373642, 19.395538]
[-81.34449, 19.395538]
[-81.315338, 19.395538]
[-81.286186, 19.395538]
[-81.257034, 19.395538]
[-81.22789, 19.395538]
[-81.198738, 19.395538]
[-81.169586, 19.395538]
[-81.140434, 19.395538]
[-81.111282, 19.395538]
[-81.082138, 19.395538]
[-81.052986, 19.395538]
[-81.023834, 19.395538]
[-80.994682, 19.395538]
[-80.96553, 19.395538]
[-80.936386, 19.395538]
[-80.907234, 19.395538]
[-80.878082, 19.395538]
[-80.84893, 19.395538]
[-80.819778, 19.395538]
[-80.790634, 19.395538]
[-80.761482, 19.395538]
[-80.73233, 19.395538]
[-80.703178, 19.395538]
[-80.674026, 19.395538]
[-80.644882, 19.395538]
[-80.61573, 19.395538]
[-80.586578, 19.395538]
